level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,640,940,-1,
2,1,1,0,0,0,545,0,69,3,-1,
3,1,1,1,0,0,545,0,69,3,-1,
4,1,1,1,1,0,545,0,69,3,-1,
5,1,1,1,1,1,545,0,69,3,95, 
2,1,2,0,0,0,76,219,455,330,-1,
3,1,2,1,0,0,76,219,455,330,-1,
4,1,2,1,1,0,76,219,455,330,-1,
5,1,2,1,1,1,76,219,455,330,95,    
2,1,3,0,0,0,213,336,295,154,-1,
3,1,3,1,0,0,213,336,295,154,-1,
4,1,3,1,1,0,213,336,295,154,-1,
5,1,3,1,1,1,213,336,295,154,0,VAG
2,1,4,0,0,0,223,462,258,81,-1,
3,1,4,1,0,0,242,462,225,65,-1,
4,1,4,1,1,0,321,462,10,11,-1,
5,1,4,1,1,1,321,462,10,11,67,*
4,1,4,1,2,0,257,471,224,68,-1,
5,1,4,1,2,1,257,481,78,58,44,oven
5,1,4,1,2,2,346,471,96,45,78,Musica;
5,1,4,1,2,3,438,514,5,11,32,I
5,1,4,1,2,4,452,489,29,26,63,Hit
4,1,4,1,3,0,223,512,33,31,-1,
5,1,4,1,3,1,223,512,33,31,57,we
2,1,5,0,0,0,99,545,337,21,-1,
3,1,5,1,0,0,99,545,337,21,-1,
4,1,5,1,1,0,99,545,337,21,-1,
5,1,5,1,1,1,99,546,18,20,81,*
5,1,5,1,1,2,179,545,30,21,53,<
5,1,5,1,1,3,321,554,2,3,18,.
5,1,5,1,1,4,422,547,14,17,70,*
2,1,6,0,0,0,134,617,338,48,-1,
3,1,6,1,0,0,134,617,338,48,-1,
4,1,6,1,1,0,134,617,338,48,-1,
5,1,6,1,1,1,134,617,211,48,96,January
5,1,6,1,1,2,360,624,112,38,96,6-29
2,1,7,0,0,0,140,683,331,49,-1,
3,1,7,1,0,0,140,683,331,49,-1,
4,1,7,1,1,0,141,683,330,26,-1,
5,1,7,1,1,1,141,683,86,21,93,Fridays
5,1,7,1,1,2,234,685,19,16,92,&
5,1,7,1,1,3,260,686,117,22,96,Saturdays
5,1,7,1,1,4,385,691,23,14,93,at
5,1,7,1,1,5,415,690,12,15,93,8
5,1,7,1,1,6,435,694,36,15,93,pm
4,1,7,1,2,0,140,706,331,26,-1,
5,1,7,1,2,1,140,706,99,21,93,Sunday
5,1,7,1,2,2,248,708,117,19,91,Matinees
5,1,7,1,2,3,373,714,26,14,96,at
5,1,7,1,2,4,407,715,14,14,70,2
5,1,7,1,2,5,430,717,41,15,94,pm
2,1,8,0,0,0,68,756,471,101,-1,
3,1,8,1,0,0,68,756,471,101,-1,
4,1,8,1,1,0,68,756,471,60,-1,
5,1,8,1,1,1,68,756,169,43,95,Tickets:
5,1,8,1,1,2,319,774,220,42,86,723-8698
4,1,8,1,2,0,71,794,466,50,-1,
5,1,8,1,2,1,71,794,57,22,93,$20
5,1,8,1,2,2,138,794,28,21,91,&
5,1,8,1,2,3,176,797,57,21,93,$22
5,1,8,1,2,4,324,827,62,17,78,Henegar
5,1,8,1,2,5,391,828,51,14,93,Center
5,1,8,1,2,6,447,830,22,12,95,for
5,1,8,1,2,7,475,831,23,12,96,the
5,1,8,1,2,8,503,831,34,13,90,Arts
4,1,8,1,3,0,70,833,194,24,-1,
5,1,8,1,3,1,66,829,67,32,39,www.
5,1,8,1,3,2,138,833,126,24,39,henegar.org
2,1,9,0,0,0,322,846,216,14,-1,
3,1,9,1,0,0,322,846,216,14,-1,
4,1,9,1,1,0,322,846,216,14,-1,
5,1,9,1,1,1,322,846,55,10,94,Historic
5,1,9,1,1,2,382,847,77,11,92,Downtown
5,1,9,1,1,3,465,849,73,11,79,Melbourne
2,1,10,0,0,0,47,880,504,26,-1,
3,1,10,1,0,0,47,880,504,26,-1,
4,1,10,1,1,0,47,880,504,26,-1,
5,1,10,1,1,1,47,882,67,13,81,Presented
5,1,10,1,1,2,119,884,15,13,92,by
5,1,10,1,1,3,140,880,49,23,33,Spitcjaf
5,1,10,1,1,4,192,886,93,15,93,Arrangement
5,1,10,1,1,5,289,888,33,12,94,with
5,1,10,1,1,6,327,888,39,13,94,Music
5,1,10,1,1,7,370,889,54,13,94,Theatre
5,1,10,1,1,8,428,890,97,16,85,"International,"
5,1,10,1,1,9,530,893,21,12,52,NY
2,1,11,0,0,0,527,913,53,17,-1,
3,1,11,1,0,0,527,913,53,17,-1,
4,1,11,1,1,0,527,913,53,17,-1,
5,1,11,1,1,1,527,913,53,17,95, 
2,1,12,0,0,0,590,211,50,726,-1,
3,1,12,1,0,0,590,211,50,726,-1,
4,1,12,1,1,0,590,211,50,726,-1,
5,1,12,1,1,1,590,211,50,726,95,
